,Movie_name,Genre,Director,Writer,Painter,Firm,Type,Color,Runtime,Year
0,26 komissar,"tarixi, dram",Nikolay Şengelaya,"Aleksandr Rjeşevski, Nikolay Şengelaya, A. Amiraqov",Viktor Aden,Azərfilm,tammetrajlı bədii film,ağ-qara,78.0,1932
1,40-cı qapı,dram,Elçin Musaoğlu,Elçin Musaoğlu,Elxan Nəbiyev,Ritm Prodakşn,tammetrajlı bədii film,rəngli,81.0,2008
2,1001-ci qastrol,"komediya, musiqili",Oqtay Mirqasımov,"Vaqif Səmədoğlu, Oqtay Mirqasımov",Rafiz İsmayılov,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,65.0,1974
3,Ad günü,dram,Rasim Ocaqov,Rüstəm İbrahimbəyov,Kamil Nəcəfzadə,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,71.0,1977
4,Ağ atlı oğlan,"dram, döyüş, müharibə, uşaq",Ənvər Əbluc,"İsi Məlikzadə, Ənvər Əbluc",Nizami Bəydəmirov,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,None,64.0,1995
5,"""Ağ-qara"" gecələr",dram,Ayaz Salayev,"Ayaz Salayev, [1], Nadya Mağuli","İbrahimxəlil Aminov, Əziz Məmmədov","""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,81.0,2013
6,Axırıncı aşırım,"dram, döyüş, macəra",Kamil Rüstəmbəyov,Fərman Kərimzadə,Nadir Zeynalov,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,ağ-qara,73.0,1971
7,Ailə,dram,"Rüstəm İbrahimbəyov, Ramiz Həsənoğlu",Rüstəm İbrahimbəyov,Şamil Nəcəfzadə,None,tammetrajlı bədii film,rəngli,103.0,1998
8,Aktrisa,"dram, cinayət, triller",Rövşən İsax,"İlqar Fəhmi, Rövşən İsax","Mustafa Mustafayev (dekorator rəssam), Gülnarə Xəlilova (geyim rəssamı)","""Pozitiv Mediya"" Prodüser Mərkəzi",tammetrajlı bədii film,rəngli,97.0,2011
9,Alma almaya bənzər,"komediya, musiqili",Arif Babayev,Alla Axundova,Firəngiz Qurbanova,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,81.0,1975
10,Alman klinikasına şəxsi səfər,"döyüş, macəra, triller",Rasim İsmayılov,"Rasim İsmayılov, Məmməd Avdiyev",Fikrət Əhədov,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,128.0,1988
11,Almaz,dram,"Ağarza Quliyev, Qriqori Braginski",Cəfər Cabbarlı,Viktor Aden,Azərbaycan kinostudiyası,tammetrajlı bədii film,ağ-qara,65.0,1936
12,Altıncı hiss,dram,Mikayıl Mikayılov,"Aleksey Kapler, İvan Tartakovski",Viktor Aden,Azərfilm,tammetrajlı bədii film,ağ-qara,100.0,1935
13,Anın quruluşu,"dram, komediya, məhəbbət",Rasim İsmayılov,Rüstəm İbrahimbəyov,Rafiz İsmayılov,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,129.0,1980
14,Anlamaq istəyirəm,dram,Oqtay Mirqasımov,"Nəbi Xəzri, Leonid Juxovitski, Oqtay Mirqasımov",Firəngiz Qurbanova,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,133.0,1980
15,Araqarışdıran,"dram, komediya, məhəbbət",Yefim Abramov,Yefim Abramov,"Elbəy Rzaquliyev, Rafiq Nəsirov","""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,90.0,1987
16,Arxada qalmış gələcək,"dram, macəra, fantastika, müharibə, uşaq",Rüfət Əsədov,Yusif Şeyxov,"Adil Azay, Əziz Məmmədov","""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,71.0,2004
17,Arxadan vurulan zərbə,"dram, detektiv, cinayət",Arif Babayev,Elçin,Elbəy Rzaquliyev,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli (ağ-qara kadrlarla),78.0,1977
18,Arşın mal alan,komediya,Boris Svetlov,Üzeyir Hacıbəyov,None,"""Filma"" Səhmdar Cəmiyyəti, [1]",tammetrajlı bədii film,ağ-qara,81.0,None
19,Arşın mal alan,"komediya, məhəbbət, musiqili","Rza Təhmasib, Nikolay Leşşenko",Sabit Rəhman,Yuri Şvets,Bakı Kinostudiyası,tammetrajlı bədii film,ağ-qara,89.0,1945
20,Arşın mal alan,"komediya, musiqili, məhəbbət",Tofiq Tağızadə,"Tofiq Tağızadə, Muxtar Dadaşov",Elbəy Rzaquliyev,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,85.0,1965
21,Arvad,dram,Boris Svetlov,A.D.Panova-Potyomkina,None,"""Filma"" Səhmdar Cəmiyyəti",tammetrajlı bədii film,ağ-qara,81.0,None
22,Arvadlar ərlərini mənsəbə necə çatdırırlar,komediya,Boris Svetlov,None,None,"""Filma"" Səhmdar Cəmiyyəti",tammetrajlı bədii film,ağ-qara,81.0,None
23,"Asif, Vasif, Ağasif","komediya, musiqili, uşaq",Rasim İsmayılov,Nadejda İsmayılova,Məmməd Hüseynov,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,63.0,1983
24,Aşkarsızlıq şəraitində...,detektiv,Fərhad Yusifov,Ramiz Fətəliyev,Fikrət Bağırov,"""Azərbaycanfilm"" Kinostudiyası",None,rəngli,73.0,None
25,Avqust gələndə,"dram, uşaq",Gülbəniz Əzimzadə,Asim Cəlilov,Rafiz İsmayılov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,63.0,1984
26,Babamızın babasının babası,komediya,Tofiq Tağızadə,Ramiz Rövşən,Arif Əbdürrəhmanov,Azərbaycanfilm,tammetrajlı bədii film,rəngli,72.0,1981
27,Babək,"tarixi, döyüş, bioqrafik, müharibə",Eldar Quliyev,Ənvər Məmmədxanlı,Mayis Ağabəyov,None,tammetrajlı bədii film,rəngli,128.0,1979
28,Bağ mövsümü,dram,Tofiq Tağızadə,Elçin,Kamil Nəcəfzadə,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,77.0,1985
29,Bağlı qapı,dram,Rasim Ocaqov,Rüstəm İbrahimbəyov,Fikrət Bağırov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,85.0,1981
30,Bakıda küləklər əsir,"dram, döyüş, macəra, müharibə",Muxtar Dadaşov,"Muxtar Dadaşov, Yuri Dobroxotov, Vladimir Spitsin, Vladimir Sinitsin",Elbəy Rzaquliyev,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,85.0,1974
31,Bakılılar,"dram, tarixi",Viktor Turin,"Vsevolod Pavlovski, Viktor Turin",Viktor Aden,Azərfilm,tammetrajlı bədii film,ağ-qara,97.0,1938
32,Bakının işıqları,dram,"Aleksandr Zarxi, İosif Xeyfits, Rza Təhmasib","Qriqori Koltunov, Yevgeni Pomeşşikov",M. Yuferov,Bakı Kinostudiyası,tammetrajlı bədii film,ağ-qara,88.0,1950
33,Bayquş,dram,Georgi Kravçenko,Leo Mur,None,AFKİ,tammetrajlı bədii film,ağ-qara,64.0,None
34,Bayquş gələndə...,"dram, uşaq",Şamil Mahmudbəyov,Maqsud İbrahimbəyov,Kamil Nəcəfzadə,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,73.0,None
35,Bəxt üzüyü,komediya,Ramiz Əzizbəyli,"Ramiz Əzizbəyli, Vaqif Səmədoğlu, Orxan Fikrətoğlu",Rafiq Nəsirov,"""Qara Qayafilm"" studiyası",tammetrajlı bədii film,rəngli,97.0,1991
36,Bəxtiyar,"dram, komediya, musiqili, məhəbbət",Lətif Səfərov,"Boris Laskin, Nikolay Rojkov","Cəbrayıl Əzimov, Elbəy Rzaquliyev","Bakı kinostudiyası, [1]",tammetrajlı bədii film,ağ-qara,99.0,1955
37,Bəyin oğurlanması,"komediya, musiqili","Ceyhun Mirzəyev, Vaqif Mustafayev",Mövlud Süleymanlı,"Elbəy Rzaquliyev, Rafiq Nəsirov","""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,69.0,1985
38,Bir ailə,"dram, müharibə",Qriqori Aleksandrov,"Mir Cəlal, Lev Vaysenberq, İosif Prut","Yuri Şvets, Əlisəttar Atakişiyev, Mixail Vlasov, Gülnaz Salamova","""Bakı"" kinostudiyası",tammetrajlı bədii film,ağ-qara,83.0,1943
39,Bir ailəlik bağ evi,dram,Yuli Qusman,Rüstəm İbrahimbəyov,Firəngiz Qurbanova,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,84.0,1978
40,Bir alçalmanın tarixi,dram,Boris Svetlov,P.Muravyov,None,"""Filma"" Səhmdar Cəmiyyəti",tammetrajlı bədii film,ağ-qara,81.0,None
41,Bir cənub şəhərində,dram,Eldar Quliyev,Rüstəm İbrahimbəyov,Kamil Nəcəfzadə,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,ağ-qara,75.0,1969
42,Bir qalanın sirri,"macəra, fantaziya, uşaq",Əlisəttar Atakişiyev,Məmmədhüseyn Təhmasib,Nadir Zeynalov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,76.0,1959
43,Bir məhəllədən iki nəfər,dram,"İlya Qurin, Əjdər İbrahimov","Nazim Hikmət, A. Beqiçeva","Elbəy Rzaquliyev, Kamil Nəcəfzadə, Məmməd Hüseynov",None,tammetrajlı bədii film,ağ-qara,92.0,None
44,Bircəciyim,"dram, detektiv, məhəbbət",Ənvər Əbluc,Yuri Çulyukin,Fikrət Əhədov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,67.0,1986
45,"Birisigün, gecəyarısı...","detektiv, tarixi, bioqrafik",Arif Babayev,"Məmməd Avdiyev, Ramiz Fətəliyev, Anatoli Donets",Kamil Nəcəfzadə,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,93.0,1981
46,Bismillah,dram,Abbas Mirzə Şərifzadə,Pavel Blyaxin,"K.Yevseyev, A.Plaksin",Azdövlətkinosənaye,tammetrajlı bədii film,ağ-qara,57.0,None
47,Biz qayıdacağıq,"dram, uşaq",Elxan Qasımov,"Natiq Rəsulzadə, [1]","Rafiz İsmayılov, Rafiq Nəsirov","""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,82.0,2007
48,Bizi bağışlayın,"dram, məhəbbət",Arif Babayev,"Aqlaya Boqoslovskaya, Alla Axundova",Kamil Nəcəfzadə,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli (ağ-qara kadrlarla),72.0,1979
49,Bizim Cəbiş müəllim,"dram, müharibə",Həsən Seyidbəyli,Maqsud İbrahimbəyov,Məmməd Hüseynov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,72.0,1969
50,Bizim küçə,"dram, macəra",Əlisəttar Atakişiyev,İmran Qasımov,Kamil Nəcəfzadə,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,84.0,1961
51,Bizim küçənin oğlanları,"dram, komediya, məhəbbət",Tofiq İsmayılov,Oqtay Orucov,Nadir Zeynalov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,80.0,1973
52,Böyük dayaq,dram,Həbib İsmayılov,Mirzə İbrahimov,Məmməd Hüseynov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,88.0,1962
53,Burulğan,"dram, macəra, müəmma",Eldar Quliyev,"Eldar Quliyev, Ramiz Fətəliyev",Mayis Ağabəyov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,85.0,1986
54,None,None,None,None,None,None,None,None,81.0,None
55,Cansıxıcı əhvalat,dram,Cəmil Quliyev,Eldəniz Quliyev,Nazim Hacıyev,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,65.5,1988
56,Cavad xan,"dram, tarixi, döyüş, müharibə",Rövşən Almuradlı,Sabir Rüstəmxanlı,"Rafiz İsmayılov, Rafiq Nəsirov","""Bizim Kino"" Prodüser Mərkəzi",tammetrajlı bədii film,rəngli,120.0,2009
57,Cavid ömrü,"dram, tarixi, bioqrafik",Ramiz Həsənoğlu,Anar Rzayev,Adil Azay,"""Azvideo"" Yaradıcılıq Şirkəti",tammetrajlı bədii film,rəngli,128.0,2007
58,Cin mikrorayonda,"komediya, musiqili, fantastika",Oqtay Mirqasımov,Eldəniz Quliyev,"Rafiq Nəsirov, Şamil Nəcəfzadə","""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,75.0,1985
59,Çarvadarların izi ilə,dram,Tofiq İsmayılov,Əli Qafarov,Nadir Zeynalov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,82.0,1974
60,Çətirimiz buludlardır,"Dram, Məhəbbət","Nicat Bəkirzadə, ,, Teymur Bəkirzadə",Mövlud Süleymanlı,Mais Ağabəyov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,65.0,1976
61,Çölçü,"Dram, Fəlsəfi, Fəlsəfi dram",Şamil Əliyev,Vidadi Həsənov,"Rafiq Nəsirov, İbrahimxəlil Əminov","""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,80.0,2012
62,Dağlarda döyüş,"dram, döyüş, macəra, cinayət",Kamil Rüstəmbəyov,Əhmədağa Qurbanov,Məmməd Hüseynov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,74.0,1967
63,Dantenin yubileyi,"dram, məhəbbət","Gülbəniz Əzimzadə, Anar",Anar,Rafiz İsmayılov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,80.0,1978
64,"De ki, məni sevirsən!","dram, detektiv, məhəbbət, uşaq",Maqsud İbrahimbəyov,Maqsud İbrahimbəyov,Fikrət Bağırov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,63.0,1977
65,Dəcəl dəstə,"komediya, uşaq","Aleksandr Popov, Qəmər Salamzadə",Yuri Fidler,Viktor Aden,Azərfilm,tammetrajlı bədii film,ağ-qara,59.0,1937
67,Dəli Kür,dram,Hüseyn Seyidzadə,İsmayıl Şıxlı,Nadir Zeynalov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,ağ-qara,93.5,1969
68,Dərviş Parisi partladır,"komediya, musiqili","Kamil Rüstəmbəyov, Şamil Mahmudbəyov",Ədhəm Qulubəyov,Nadir Zeynalov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,68.0,1976
69,Dərvişin qeydləri,"Tarixi, Detektiv",Eldar Quliyev,"Eldar Quliyev, İlqar Fəhmi","Mais Ağabəyov, Əziz Məmmədov",None,tammetrajlı bədii film,rəngli,100.0,2013
70,Doğma sahillər,"detektiv, döyüş, macəra, triller",Əbdül Mahmudov,Əhmədağa Muğanlı,Kamil Nəcəfzadə,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,87.0,1989
71,Dolu,"döyüş, müharibə",Elxan Cəfərov,Aqil Abbasov,Rafiq Nəsirov,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,rəngli,84.0,2012
72,Dörd bazar günü,"dram, müharibə",Şamil Mahmudbəyov,"Hüseyn Abbaszadə, ,, Şamil Mahmudbəyov, ,, Fərman Kərimzadə",Kamil Nəcəfzadə,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,None,132.4,1975
73,Etiraf,"dram, cinayət, triller",Şamil Əliyev,"Şamil Əliyev, Cəmil Quliyev",Əziz Məmmədov,None,tammetrajlı bədii film,rəngli,81.0,1992
74,Evin kişisi,"dram, məhəbbət",Tofiq Tağızadə,İsi Məlikzadə,Rafiz İsmayılov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,65.0,1978
76,Əgər bir yerdəyiksə,Dram,Vladimir Semakov,Oqtay Orucov,Fikrət Əhədov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,67.0,1975
77,Əlaqə,"Fantastika, Müəmma",Cahangir Zeynallı,Anar,Kamran Zeynallı,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,89.0,None
78,Əlavə iz,detektiv,Nicat Bəkirzadə,"Arif Heydərov, Dmitri Hüseynov",Məmməd Hüseynov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,75.0,1981
