,Movie_name,Genre,Director,Writer,Painter,Firm,Type,Color,Runtime,Year
153,Qətl günü,"dram, tarixi",Gülbəniz Əzimzadə,Yusif Səmədoğlu,Mayis Ağabəyov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli (ağ-qara kadrlarla),131.5,1990
154,Qətldən yeddi gün sonra,"dram, detektiv",Rasim Ocaqov,Rüstəm İbrahimbəyov,"Rafiz İsmayılov, S.Portnoy",None,tammetrajlı bədii film,rəngli,89.5,1991
155,Qəzəlxan,"dram, bioqrafik",Şahmar Ələkbərov,Şahmar Ələkbərov,"Rafiq Nəsirov, Elbəy Rzaquliyev","""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli (ağ-qara kadrlarla),148.0,1991
156,Qırmızı Bağ,Fəlsəfi dram-pritça,Mirbala Səlimli,Mirbala Səlimli,Leonid Karpov,"""Azərbaycanfilm"" kinostudiyası ""VayTMedia"" kinostudiyası",tammetrajlı bədii film,rəngli,88.0,2016
157,Qırmızı qatar,dram,Hafiz Fətullayev,Hafiz Fətullayev,Bəxtiyar Nəzərov,"""Sərab"" Müstəqil Kinoşirkəti",tammetrajlı bədii film,rəngli,135.5,1993
158,Qız qalası əfsanəsi,dram,Vladimir Ballyuzek,N.Breslav-Lurye,Vladimir Ballyuzek,AFKİ,tammetrajlı bədii film,ağ-qara,54.5,1923
159,Qızıl kol,dram,Beybolat Askarov,Beybolat Askarov,None,Azdövlətkino,tammetrajlı bədii film,ağ-qara,81.0,None
160,Qızıl qaz,dram,Tofiq Tağızadə,Əli Qafarov,Məmməd Hüseynov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,93.5,1972
162,Qızmar günəş altında,"dram, məhəbbət",Lətif Səfərov,Həsən Seyidbəyli,Cəbrayıl Əzimov,Bakı Kinostudiyası,tammetrajlı bədii film,ağ-qara,90.5,1957
163,Qisas almadan ölmə. Keçmişdən məktublar,None,Oqtay Mirqasımov,Oqtay Mirqasımov,None,None,None,None,81.0,2014-cü il
164,Qoca palıdın nağılı,dram,"Fikrət Əliyev, Hüseyn Mehdiyev",İsi Məlikzadə,Fikrət Əhədov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,63.0,1984
165,"Qocalar, qocalar...",dram,"Elxan Qasımov, Yefim Abramov","Əhmədağa Qurbanov, Yefim Abramov",Məmməd Hüseynov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,65.5,1982
166,"Qorxma, mən səninləyəm","komediya, döyüş, macəra, musiqili, məhəbbət",Yuli Qusman,"Yuli Dunski, Valeri Frid",Nadir Zeynalov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,148.75,1981
168,"Ləqəbi ""İKA""dır",dram,"Teymur Bəkirzadə, ,, Amin Novruzov",Vaqif Mustafayev,Mayis Ağabəyov,None,tammetrajlı bədii film,rəngli,73.5,1997
169,Lətif,"dram, uşaq",Mikayıl Mikayılov,Mikayıl Mikayılov,Aleksandr S. Qonçarski,Azərkino,tammetrajlı bədii film,ağ-qara,49.0,1930
170,Lətifə,"dram, faciəvi komediya","Nizami Musayev, Yefim Abramov",Rövşən Ağayev,"Kamil Nəcəfzadə, Nazim Hacıyev",None,tammetrajlı bədii film,rəngli,136.0,1989
171,Mahnı belə yaranır,"dram, bioqrafik","Rza Təhmasib, Mikayıl Mikayılov",Roman Fatuyev,Nadir Zeynalov,Bakı Kinostudiyası,tammetrajlı bədii film,rəngli,81.5,1957
172,Mavi dənizin sahilində,komediya,Boris Barnet,Klimenti Mints,Viktor Aden,None,tammetrajlı bədii film,ağ-qara,71.0,None
173,Mezozoy əhvalatı,"dram, məhəbbət",Rəşid Atamalıbəyov,Maqsud İbrahimbəyov,Rafiz İsmayılov,"""Azərbaycanfilm"" Kinostudiyası",tammetrajlı bədii film,rəngli,65.5,1976
174,Mədənçi-neftçi istirahətdə və müalicədə,komediya,Aleksandr Litvinov,"Aleksandr Litvinov, Pavel Velski",None,None,tammetrajlı bədii film,ağ-qara,58.0,None
175,Məhəbbət oyunu,komediya,Abbas Mirzə Şərifzadə,Aleksandr Popov,"Viktor Aden, G.Əliyev",Azərfilm,None,ağ-qara,55.0,None
177,Məkanın melodiyası,"Dram, Məhəbbət",Hüseyn Mehdiyev,"Ramiz Rövşən, Hüseyn Mehdiyev",Mayis Ağabəyov,"""Azərbaycanfilm"" kinostudiyası",tammetrajlı bədii film,"rəngli, (ağ-qara kadrlarla)",84.0,2004
